timestamp,captcha_file,sent_string,method,conf_score,success,notes
2025-08-26 00:32:35,attempts\captcha_images\captcha_1756157552455.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:32:43,attempts\captcha_images\captcha_1756157560797.png,1,tesseract,73.0,False,captcha_incorrect
2025-08-26 00:32:50,attempts\captcha_images\captcha_1756157567550.png,740,tesseract,51.0,False,captcha_incorrect
2025-08-26 00:32:57,attempts\captcha_images\captcha_1756157574731.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:04,attempts\captcha_images\captcha_1756157581423.png,638,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:12,attempts\captcha_images\captcha_1756157590457.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:19,attempts\captcha_images\captcha_1756157596837.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:27,attempts\captcha_images\captcha_1756157603365.png,233,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:33,attempts\captcha_images\captcha_1756157610985.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:42,attempts\captcha_images\captcha_1756157619522.png,599,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:33:50,attempts\captcha_images\captcha_1756157626524.png,5668,tesseract,0.0,True,
2025-08-26 00:33:56,attempts\captcha_images\captcha_1756157633378.png,6169,tesseract,0.0,True,
2025-08-26 00:34:03,attempts\captcha_images\captcha_1756157640048.png,1,tesseract,74.0,False,captcha_incorrect
2025-08-26 00:34:10,attempts\captcha_images\captcha_1756157647120.png,1988,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:34:18,attempts\captcha_images\captcha_1756157654793.png,6347,tesseract,0.0,True,
2025-08-26 00:34:24,attempts\captcha_images\captcha_1756157661337.png,4,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:34:30,attempts\captcha_images\captcha_1756157667922.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:34:37,attempts\captcha_images\captcha_1756157674428.png,4,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:40:06,attempts\captcha_images\captcha_1756158000017.png,5288,tesseract+fullimage,18.0,True,
2025-08-26 00:40:15,attempts\captcha_images\captcha_1756158009317.png,6050,tesseract+fullimage,0.0,True,
2025-08-26 00:40:24,attempts\captcha_images\captcha_1756158018498.png,4442,tesseract+fullimage,47.0,True,
2025-08-26 00:40:33,attempts\captcha_images\captcha_1756158027400.png,178,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:40:41,attempts\captcha_images\captcha_1756158037075.png,55,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:40:51,attempts\captcha_images\captcha_1756158045220.png,9469,tesseract+fullimage,36.0,True,
2025-08-26 00:40:58,attempts\captcha_images\captcha_1756158054437.png,3923,tesseract,17.0,True,
2025-08-26 00:41:07,attempts\captcha_images\captcha_1756158061344.png,4604,tesseract+fullimage,49.0,True,
2025-08-26 00:41:16,attempts\captcha_images\captcha_1756158070672.png,1584,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:41:26,attempts\captcha_images\captcha_1756158080242.png,4819,tesseract+fullimage,53.0,True,
2025-08-26 00:41:35,attempts\captcha_images\captcha_1756158089425.png,3430,tesseract+fullimage,11.0,True,
2025-08-26 00:41:44,attempts\captcha_images\captcha_1756158098402.png,5242,tesseract+fullimage,54.0,True,
2025-08-26 00:41:53,attempts\captcha_images\captcha_1756158107154.png,7428,tesseract+fullimage,40.0,True,
2025-08-26 00:41:59,attempts\captcha_images\captcha_1756158116027.png,5522,tesseract,42.0,False,captcha_incorrect
